frame.time_relative,frame.len,sll.pkttype,sll.hatype,sll.unused,sll.etype,ip.version,ip.hdr_len,ip.dsfield,ip.dsfield.dscp,ip.len,ip.flags,ip.flags.df,ip.ttl,ip.proto,Label
2.702781,1401,0,1,0,0x0800,4,20,0x00,0,1385,0x40,1,56,17,0
2.702894,86,4,1,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.702902,1401,0,1,0,0x0800,4,20,0x00,0,1385,0x40,1,56,17,0
2.702903,357,0,1,0,0x0800,4,20,0x00,0,341,0x40,1,56,17,0
2.704536,87,4,1,0,0x0800,4,20,0x00,0,71,0x40,1,64,17,0
2.709826,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.711309,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.744649,266,0,1,0,0x0800,4,20,0x00,0,250,0x00,0,56,6,0
2.744665,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.744903,107,4,1,0,0x0800,4,20,0x00,0,91,0x40,1,64,6,0
2.748709,86,0,772,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.748727,86,0,772,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.749028,137,0,772,0,0x0800,4,20,0x00,0,121,0x40,1,64,17,0
2.749148,149,0,772,0,0x0800,4,20,0x00,0,133,0x40,1,64,17,0
2.749533,494,4,1,0,0x0800,4,20,0x00,0,478,0x40,1,64,6,0
2.764114,84,4,1,0,0x0800,4,20,0x00,0,68,0x40,1,64,17,0
2.764167,84,4,1,0,0x0800,4,20,0x00,0,68,0x40,1,64,17,0
2.776705,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.78674,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.796406,86,0,1,0,0x0800,4,20,0x00,0,70,0x40,1,56,17,0
2.808106,1144,0,1,0,0x0800,4,20,0x00,0,1128,0x00,0,56,6,0
2.808106,99,0,1,0,0x0800,4,20,0x00,0,83,0x00,0,56,6,0
2.808106,107,0,1,0,0x0800,4,20,0x00,0,91,0x00,0,56,6,0
2.808125,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.808153,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.808162,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.808747,107,4,1,0,0x0800,4,20,0x00,0,91,0x40,1,64,6,0
2.815186,769,0,1,0,0x0800,4,20,0x00,0,753,0x00,0,56,6,0
2.815203,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.840781,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.845134,84,4,1,0,0x0800,4,20,0x00,0,68,0x40,1,64,17,0
2.845189,84,4,1,0,0x0800,4,20,0x00,0,68,0x40,1,64,17,0
2.85706,154,4,1,0,0x0800,4,20,0x00,0,138,0x40,1,64,17,0
2.857118,110,4,1,0,0x0800,4,20,0x00,0,94,0x40,1,64,17,0
2.857289,107,4,1,0,0x0800,4,20,0x00,0,91,0x40,1,64,6,0
2.857571,92,4,1,0,0x0800,4,20,0x00,0,76,0x40,1,64,6,0
2.857599,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.877495,86,0,1,0,0x0800,4,20,0x00,0,70,0x40,1,56,17,0
2.888386,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.88864,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.888932,659,0,1,0,0x0800,4,20,0x00,0,643,0x40,1,56,17,0
2.888932,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.888932,168,0,1,0,0x0800,4,20,0x00,0,152,0x40,1,56,17,0
2.888932,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.88963,77,4,1,0,0x0800,4,20,0x00,0,61,0x40,1,64,17,0
2.900815,547,4,1,0,0x0800,4,20,0x00,0,531,0x40,1,64,17,0
